node1,node2,edge
2362,2381,0.5022649873318885
2362,2382,0.5400698984839221
2362,2383,0.40401546498701685
2362,2389,0.4807041512760297
2362,4238,0.48486531677876
2362,4249,0.41477646979139954
2362,4411,0.5387201695334816
2362,4412,0.45460373230770934
2362,4413,0.5627140667655584
2362,4421,0.43094320526298346
2362,4431,0.44898685326562005
2362,4441,0.5464865179164716
2362,4442,0.5021503646526186
2362,4451,0.46644865368453287
2362,4461,0.49561481833443993
2362,4471,0.5465768214549513
2362,4511,0.41063894520498795
2362,4529,0.46631909618698686
2362,4531,0.4327144281012072
2362,4532,0.41054692288528827
2362,4533,0.4391103615121489
2362,4539,0.45554876524407567
2362,4543,0.45005018689439524
2362,4841,0.45437686552918416
2362,4842,0.48211401129241205
2362,5221,0.5070778448663623
2362,5322,0.4271275873624199
2362,5419,0.44391822844022405
2362,6211,0.42832219528023635
2362,6212,0.5064352348784004
2362,6213,0.4897411048268097
2362,6214,0.41453688509038344
2362,6231,0.46825222715305187
2362,6233,0.4202470291559558
2362,6241,0.4124804961925163
2362,6244,0.46311150512863547
2362,7139,0.4067620749242993
2362,7225,0.5411473173460738
2362,8111,0.5524051902082376
2362,8113,0.443330165175028
2362,8122,0.46935164549093233
2362,8131,0.5438053173681511
2362,8134,0.4058106649871249
2371,2381,0.4794606189956259
2371,2382,0.4867013158366406
2371,2389,0.5147880710953956
2371,4238,0.42915196462253735
2371,4411,0.47587967037306916
2371,4412,0.4258735326876614
2371,4413,0.5332028065530393
2371,4441,0.49672683651236627
2371,4442,0.4786425868999704
2371,4451,0.4408602993300276
2371,4461,0.44936409428692725
2371,4471,0.5136919909815174
2371,4529,0.43378114576214394
2371,4539,0.41145806825804954
2371,4543,0.4180781357979006
2371,4842,0.44826640989623584
2371,5221,0.4372346446047727
2371,5419,0.4400157248903057
2371,6212,0.4822344000423219
2371,6213,0.46144484585030904
2371,6244,0.4376661639786251
2371,7225,0.5103871213748586
2371,8111,0.5056342849086155
2371,8113,0.41092472190059237
2371,8122,0.4029019337133251
2371,8131,0.4902098149953835
2373,4411,0.4323142902664458
2373,4412,0.4170339398610348
2373,4413,0.4106290314045679
2373,4421,0.4036239567281709
2373,4422,0.4193468819765684
2373,4441,0.41604714114851066
2373,4511,0.4212557305296337
2373,4521,0.40879669381568273
2373,4533,0.40436586746379877
2373,4539,0.4150421823041135
2373,6212,0.40191249344755836
2373,6233,0.40389981876483283
2373,8111,0.4034418367766792
2381,2382,0.6612808610335156
2381,2383,0.593282819219971
2381,2389,0.6618269654116146
2381,3273,0.40182662810342096
